restaurant_name,food_name,serving_size,serving_unit,calories,carbohydrates,sugars,fats,saturated_fats,cholesterol,sodium,fiber,potassium,proteins
McDonald's Canada,Egg BLT McMuffin with Shredded Lettuce (McDonald's in Walmart),1.0,Serving,7.99,1.55,0.56,0.14,0.02,0.0,3.76,0.99,116.09,0.58
McDonald's,Cheeseburger,1.0,Serving,535.31,39.24,7.16,28.66,14.0,95.52,1176.09,2.39,443.77,30.27
McDonald's,Hamburger,1.0,Serving,540.14,40.27,,26.56,10.52,122.04,791.0,,569.52,34.28
McDonald's,Honey,1.0,Serving,63.84,17.3,17.25,0.0,0.0,0.0,0.84,0.04,10.92,0.06
McDonald's,Hotcakes,1.0,Serving,90.8,11.32,,3.88,0.85,23.6,175.6,,52.8,2.56
McDonald's,McChicken,1.0,Serving,193.28,9.66,0.05,12.68,2.09,28.16,362.24,,161.28,10.11
McDonald's,McCrispy,1.0,Serving,470.0,,,,,,,,,
McDonald's,McDouble,1.0,Serving,391.64,38.51,8.68,17.48,7.22,52.34,878.77,2.23,303.71,20.09
McDonald's,"Americano, Large",1.0,Serving,8.88,1.65,0.0,0.18,0.09,0.0,28.81,0.0,113.47,0.12
McDonald's,"Americano, Medium",1.0,Serving,8.88,1.65,0.0,0.18,0.09,0.0,28.81,0.0,113.47,0.12
McDonald's,"Americano, Small",1.0,Serving,8.88,1.65,0.0,0.18,0.09,0.0,28.81,0.0,113.47,0.12
McDonald's,Apple Slices,1.0,Serving,114.08,28.02,23.86,0.32,0.05,0.0,9.92,0.5,250.48,0.25
McDonald's,Big Breakfast,1.0,Serving,345.84,68.62,11.04,1.73,0.47,0.0,552.82,2.1,140.17,13.83
McDonald's,Big Mac,1.0,Serving,562.83,43.98,8.69,32.76,8.33,78.84,1007.4,3.5,396.39,25.89
McDonald's,"Cappuccino, Large",1.0,Serving,119.7,11.97,11.57,4.64,2.93,18.3,115.8,0.0,388.33,7.62
McDonald's,"Cappuccino, Medium",1.0,Serving,19.32,3.25,3.11,0.51,0.29,1.52,8.05,0.0,32.25,0.49
McDonald's,"Cappuccino, Small",1.0,Serving,19.32,3.25,3.11,0.51,0.29,1.52,8.05,0.0,32.25,0.49
McDonald's,Dasani Water,1.0,Serving,0.42,0.14,0.04,0.0,0.0,0.0,19.54,0.02,2.72,0.01
McDonald's,Deluxe McCrispy,1.0,Serving,530.0,,,,,,,,,
McDonald's,Double Cheeseburger,1.0,Serving,761.6,40.4,9.77,45.42,18.12,159.6,1344.0,2.8,677.6,47.49
Burger King,Bacon King,1.0,serving,161.46,0.59,0.0,12.11,4.13,34.16,580.98,0.0,172.16,11.7
Burger King,Rodeo Burger,1.0,serving,540.14,40.27,,26.56,10.52,122.04,791.0,,569.52,34.28
Burger King,Cheeseburger,1.0,serving,535.31,39.24,7.16,28.66,14.0,95.52,1176.09,2.39,443.77,30.27
Burger King,Hamburger,1.0,serving,540.14,40.27,,26.56,10.52,122.04,791.0,,569.52,34.28
Burger King,Whopper,1.0,serving,194.18,22.67,19.4,11.16,6.04,8.74,32.68,1.25,140.6,2.9
